ID,MEMBER_ID,PROVIDER_NAME,PHYSPENTRIGHTTIME__C,HOWLIKELYCONTACTDR__C,LEVELTRUSTPHYSICIAN__C,sentiment_label,HOWLIKELYCONTACTDR_encoded,PHYSPENTRIGHTTIME__encoded,LEVELTRUSTPHYSICIAN_encoded,sentiment_label_encoded,MembertoProvider_Score
a2p4w000002O96RAAS,0014w00002pPaPbAAK,Jeffrey Peterson,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002O32dAAC,0011U00000rjinJQAQ,Scott Zeller,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002ODukAAG,0014w00003GEXipAAH,Mary Jean Vorwald,Strongly agree,Likely,Satisfied,Neutral,80,100,80,50,7.75
a2p4w000002O5baAAC,0013g0000091uY0AAI,Care Team- Colorado,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002JxT6AAK,0013g000007ZYmLAAW,Margaret Simon,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000qTQWAA2,0013g000007ZXYIAA4,Margaret Simon,Strongly agree,Very Likely,Satisfied,Positive,100,100,80,100,9.5
a2p4w000002ODzfAAG,0014w00002pQKPGAA4,Gemma Lim-GO,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002OCzZAAW,0014w00003GEXwYAAX,Kristy Norris,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002OCwkAAG,0011U00000ri9SQQAY,Sean McBrearty,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p4w000002Nzb0AAC,0011U00000riUCZQA2,Melissa Banzon,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p4w000002KKrpAAG,0013g000007Zad0AAC,Margaret Simon,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002O9tnAAC,0014w00002pQBgoAAG,Chad Turner,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002O4p7AAC,0014w00002pPawUAAS,David Malfese,Strongly disagree,Likely,Very Satisfied,Neutral,80,0,100,50,5.75
a2p4w000002O9w8AAC,0011U00000rja0eQAA,Troy Curtis,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002O3dKAAS,0011U00000riBkgQAE,Sean McBrearty,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000qSQGAA2,0011U00000rjcAqQAI,Jennifer Watson,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002ODHdAAO,0014w00002pQ8lYAAS,Sandra Seegmiller,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002O0kmAAC,0011U00000rjntCQAQ,Tammera Park,Agree,Very Likely,Satisfied,Positive,100,80,80,100,9.0
a2p4w000002O72mAAC,0014w00003GEIrOAAX,Darly Bernardo,Agree,Likely,Very Satisfied,Neutral,80,80,100,50,7.75
a2p4w000002OBwZAAW,0013g00000HW0jYAAT,Evelyn Hemmingsen,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002O5qfAAC,0014w00002pQKZhAAO,Mark Donnelly,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002O316AAC,0013g000007ZXtcAAG,Gabriel Alarcon,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002O6j1AAC,0014w00003GEDnXAAX,Eric Hutto,Agree,Somewhat Likely,Dissatisfied,Negative,60,80,20,0,4.0
a2p4w000002OBdmAAG,0014w00003GEDnXAAX,Eric Hutto,Agree,Very Unlikely,Satisfied,Negative,0,80,80,0,4.0
a2p4w000001q1whAAA,0011U00000rhxtTQAQ,Anthony Glaser,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002O6N0AAK,0014w000031qEVdAAM,Ronda Nartker,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002NzMUAA0,0013g000007Oy0yAAC,Emily Masterson,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002O9vPAAS,0011U00001BgQ9mQAF,Joseph Orzechowski,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002OAVwAAO,0011U00001BgQ9mQAF,Joseph Orzechowski,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000qcq3AAA,0013g000005GqHXAA0,Troy Curtis,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000qPilAAE,0011U00000rirQvQAI,Kelli Peiffer,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002O3XRAA0,0011U00000rirQvQAI,Kelli Peiffer,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002NzagAAC,0011U00000rirQvQAI,Kelli Peiffer,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002NztOAAS,0011U00000rhqZfQAI,Kory Schweitzer,Strongly agree,Likely,Very Satisfied,Neutral,80,100,100,50,8.25
a2p4w000002O1ZLAA0,0011U000011ElpeQAC,Jason Mehrtens,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p4w000002OD3qAAG,0011U00000rjhxxQAA,Sean McBrearty,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002KKeMAAW,0011U00000rjMBnQAM,Megan Montecalvo,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002O6dmAAC,0011U00000riSYNQA2,Joan Song-Nichols,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002O76AAAS,0014w000031qeQQAAY,Jennifer Carapia,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002O9LWAA0,0014w00003GEcd3AAD,Susan Cavins-Stewart,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002O5e5AAC,0011U00000riFyHQAU,Troy Curtis,Strongly agree,Likely,Satisfied,Neutral,80,100,80,50,7.75
a2p4w000002ODxyAAG,0014w00003GEcKiAAL,Sharon Barber,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p4w000002OCFlAAO,0014w000031rcWeAAI,Michael Helms,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002OBDeAAO,0014w00002pQNY8AAO,Amanda Gracia,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p4w000002O8Y5AAK,0014w00003GEacSAAT,Jamais Nottger,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000qolZAAQ,0013g00000CyO8HAAV,Jeffrey Peterson,Strongly agree,Likely,Satisfied,Positive,80,100,80,100,9.0
a2p4w000002ODEeAAO,0014w00003GEYrVAAX,Clifford Mitcheff,Agree,Very Likely,Very Satisfied,Neutral,100,80,100,50,8.25
