zip,Y,X,STATE_ZIP,REGION_ZIP,
938,18.410608,-66.062948,PR,Other,
939,18.408286,-66.064668,PR,Other,
940,18.410886,-66.065084,PR,Other,
949,18.452196,-66.178341,PR,Other,
950,18.448748,-66.172539,PR,Other,
951,18.443138,-66.255769,PR,Other,
952,18.423816,-66.184972,PR,Other,
953,18.389298,-66.248096,PR,Other,
954,18.390022,-66.246174,PR,Other,
955,18.409298,-66.064653,PR,Other,
956,18.179246,-66.113423,PR,Other,
957,18.178309,-66.11107,PR,Other,
958,18.177224,-66.116169,PR,Other,
959,18.178084,-66.116735,PR,Other,
960,18.180281,-66.116276,PR,Other,
961,18.180752,-66.112215,PR,Other,
962,18.444331,-66.138606,PR,Other,
963,18.446236,-66.140218,PR,Other,
965,18.38626,-66.117485,PR,Other,
966,18.388179,-66.114391,PR,Other,
968,18.386834,-66.115793,PR,Other,
969,18.386609,-66.113455,PR,Other,
970,18.385147,-66.115683,PR,Other,
971,18.388508,-66.115017,PR,Other,
975,18.410442,-66.065594,PR,Other,
976,18.363332,-66.017348,PR,Other,
977,18.362817,-66.017273,PR,Other,
978,18.368159,-66.011717,PR,Other,
979,18.40482,-65.978882,PR,Other,
981,18.406458,-65.978643,PR,Other,
982,18.407765,-65.979421,PR,Other,
983,18.40913,-65.9811,PR,Other,
984,18.408896,-65.981861,PR,Other,
985,18.409189,-65.981382,PR,Other,
986,18.408856,-65.981189,PR,Other,
987,18.410228,-65.97941,PR,Other,
988,18.406651,-65.980313,PR,Other,
1001,42.071523,-72.624257,MA,Northeast,
1002,42.374216,-72.5052,MA,Northeast,
1003,42.40524,-72.528427,MA,Northeast,
1004,42.383945,-72.511834,MA,Northeast,
1005,42.433317,-72.114488,MA,Northeast,
1007,42.281915,-72.409531,MA,Northeast,
1008,42.143189,-72.931858,MA,Northeast,
1009,42.207963,-72.344959,MA,Northeast,
1010,42.129165,-72.196131,MA,Northeast,
1011,42.283726,-72.9669,MA,Northeast,
1012,42.387225,-72.834041,MA,Northeast,
1013,42.162301,-72.604454,MA,Northeast,
1014,42.174812,-72.572286,MA,Northeast,
1020,42.1756,-72.56999,MA,Northeast,
1021,42.177959,-72.572836,MA,Northeast,
1022,42.194752,-72.561933,MA,Northeast,
